tld,type,punycode,language_code,translation,romanized,rtl,sponsor,registrar,registrar_name,registrar_web,price_new,price_renew,price_transfer,currency,updated_time
bo,ccTLD,,,,,no,Agencia para el Desarrollo de la Información de la Sociedad en Bolivia,mrdomain,MrDomain,https://www.mrdomain.com/,174.95,174.95,174.95,eur,2025-01-01 14:56:21
boats,gTLD,,,,,no,XYZ.COM LLC,cosmotown,Cosmotown,https://www.cosmotown.com/,10.95,11.17,11.17,usd,2024-11-15 16:07:41
bond,gTLD,,,,,no,Shortdot SA,dynadot,Dynadot,https://www.dynadot.com/,2.29,5.0,10.99,usd,2024-11-01 18:58:45
boo,gTLD,,,,,no,Charleston Road Registry Inc.,cloudflare,Cloudflare,https://www.cloudflare.com/,10.18,10.18,10.18,usd,2024-11-30 21:56:07
boston,gTLD,,,,,no,"Registry Services, LLC",regery,Regery,https://regery.com/,11.29,11.89,11.29,usd,2024-09-11 10:54:05
bot,gTLD,,,,,no,"Amazon Registry Services, Inc.",dynadot,Dynadot,https://www.dynadot.com/,50,50.0,50,usd,2024-11-01 18:58:45
boutique,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,3.07,24.18,24.18,usd,2025-01-01 14:55:21
br,ccTLD,,,,,no,Comite Gestor da Internet no Brasil,gandi,gandi.net,https://www.gandi.net/,123,240.0,123,eur,2025-01-01 15:04:05
broker,gTLD,,,,,no,"Dog Beach, LLC",regery,Regery,https://regery.com/,13.99,21.99,22.49,usd,2024-09-11 10:54:05
brussels,gTLD,,,,,no,DNS.be vzw,sav,Sav,https://www.sav.com/,23.43,23.43,n/a,usd,2025-01-01 14:47:32
bs,ccTLD,,,,,no,University of The Bahamas,mrdomain,MrDomain,https://www.mrdomain.com/,609.95,171.95,39.95,eur,2025-01-01 14:56:21
bt,ccTLD,,,,,no,Ministry of Information and Communications,regery,Regery,https://regery.com/,132.99,132.99,132.99,usd,2024-09-11 10:54:05
build,gTLD,,,,,no,Plan Bee LLC,spaceship,Spaceship,https://www.spaceship.com/,25.8,25.8,25.8,usd,2024-10-24 10:36:51
builders,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,4.61,26.24,26.24,usd,2025-01-01 14:55:21
business,gTLD,,,,,no,"Binky Moon, LLC",porkbun,porkbun,https://porkbun.com/,2.55,9.76,9.76,usd,2025-01-01 14:55:21
